,0,1,2
11022,9,10,inf
11023,9,10,inf
11024,9,10,inf
11025,9,10,inf
11028,9,10,inf
11029,9,10,inf
11030,9,10,inf
11031,9,10,inf
11032,9,10,inf
11033,9,10,inf
11034,9,10,inf
11035,9,10,inf
11036,9,10,inf
11037,9,10,inf
11038,9,10,inf
11039,9,10,inf
11040,9,10,inf
11041,9,10,inf
11043,9,10,inf
11047,9,10,inf
11048,9,10,inf
11049,9,10,inf
12150,10,11,inf
12152,10,11,inf
12153,10,11,inf
12154,10,11,inf
12155,10,11,inf
12157,10,11,inf
12158,10,11,inf
12159,10,11,inf
12161,10,11,inf
12162,10,11,inf
12163,10,11,inf
12165,10,11,inf
12166,10,11,inf
12167,10,11,inf
12168,10,11,inf
12169,10,11,inf
12170,10,11,inf
12171,10,11,inf
12172,10,11,inf
12173,10,11,inf
12174,10,11,inf
12176,10,11,inf
12180,10,11,inf
12181,10,11,inf
12182,10,11,inf
12183,10,11,inf
12184,10,11,inf
12186,10,11,inf
12188,10,11,inf
12189,10,11,inf
12190,10,11,inf
12191,10,11,inf
12192,10,11,inf
12193,10,11,inf
12195,10,11,inf
12199,10,11,inf
13250,11,12,inf
13251,11,12,inf
13252,11,12,inf
13253,11,12,inf
13254,11,12,inf
13255,11,12,inf
13256,11,12,inf
13258,11,12,inf
13259,11,12,inf
13261,11,12,inf
13263,11,12,inf
13264,11,12,inf
13266,11,12,inf
13267,11,12,inf
13268,11,12,inf
13269,11,12,inf
13272,11,12,inf
13273,11,12,inf
13274,11,12,inf
13275,11,12,inf
13276,11,12,inf
13277,11,12,inf
13278,11,12,inf
13280,11,12,inf
13281,11,12,inf
13282,11,12,inf
13283,11,12,inf
13285,11,12,inf
13286,11,12,inf
13287,11,12,inf
13288,11,12,inf
13289,11,12,inf
13290,11,12,inf
13291,11,12,inf
13292,11,12,inf
13293,11,12,inf
13294,11,12,inf
13296,11,12,inf
13298,11,12,inf
13299,11,12,inf
14301,12,13,inf
14302,12,13,inf
14305,12,13,inf
14306,12,13,inf
14307,12,13,inf
14308,12,13,inf
14310,12,13,inf
14311,12,13,inf
14312,12,13,inf
14314,12,13,inf
14315,12,13,inf
14316,12,13,inf
14318,12,13,inf
14319,12,13,inf
14320,12,13,inf
14321,12,13,inf
14322,12,13,inf
14323,12,13,inf
14324,12,13,inf
14325,12,13,inf
14326,12,13,inf
14327,12,13,inf
14329,12,13,inf
14330,12,13,inf
14331,12,13,inf
14332,12,13,inf
14333,12,13,inf
14334,12,13,inf
14335,12,13,inf
14336,12,13,inf
14337,12,13,inf
14338,12,13,inf
14339,12,13,inf
14340,12,13,inf
14341,12,13,inf
14343,12,13,inf
14344,12,13,inf
14345,12,13,inf
14346,12,13,inf
14347,12,13,inf
14348,12,13,inf
14349,12,13,inf
15300,13,14,inf
15301,13,14,inf
15302,13,14,inf
15303,13,14,inf
15304,13,14,inf
15305,13,14,inf
15307,13,14,inf
15308,13,14,inf
15310,13,14,inf
15311,13,14,inf
15312,13,14,inf
15313,13,14,inf
15314,13,14,inf
15315,13,14,inf
15316,13,14,inf
15318,13,14,inf
15320,13,14,inf
15321,13,14,inf
15322,13,14,inf
15323,13,14,inf
15324,13,14,inf
15325,13,14,inf
15326,13,14,inf
15328,13,14,inf
15330,13,14,inf
15331,13,14,inf
15332,13,14,inf
15333,13,14,inf
15336,13,14,inf
15337,13,14,inf
15338,13,14,inf
15339,13,14,inf
15340,13,14,inf
15341,13,14,inf
15342,13,14,inf
15343,13,14,inf
15344,13,14,inf
15345,13,14,inf
15346,13,14,inf
15347,13,14,inf
15348,13,14,inf
15349,13,14,inf
16250,14,15,inf
16253,14,15,inf
16254,14,15,inf
16255,14,15,inf
16257,14,15,inf
16258,14,15,inf
16259,14,15,inf
16260,14,15,inf
16262,14,15,inf
16263,14,15,inf
16264,14,15,inf
16265,14,15,inf
16266,14,15,inf
16267,14,15,inf
16268,14,15,inf
16270,14,15,inf
16271,14,15,inf
16273,14,15,inf
16274,14,15,inf
16275,14,15,inf
16277,14,15,inf
16278,14,15,inf
16279,14,15,inf
16280,14,15,inf
16281,14,15,inf
16283,14,15,inf
16284,14,15,inf
16285,14,15,inf
16286,14,15,inf
16289,14,15,inf
16290,14,15,inf
16291,14,15,inf
16293,14,15,inf
16294,14,15,inf
16295,14,15,inf
16296,14,15,inf
16297,14,15,inf
16298,14,15,inf
16299,14,15,inf
17150,15,16,inf
17152,15,16,inf
17153,15,16,inf
17155,15,16,inf
17156,15,16,inf
17157,15,16,inf
17158,15,16,inf
17159,15,16,inf
17160,15,16,inf
17161,15,16,inf
17162,15,16,inf
17163,15,16,inf
17164,15,16,inf
17165,15,16,inf
17166,15,16,inf
